"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"Year109",2017,"Gabapentin",0.123026261921621,0.00510967089124054,2.96212054446673,"South-eastern Asia"
"Year1010",2017,"Gabapentin",0.0268108462555195,0.0200983359011515,0.0357652235723615,"Southern Asia"
"Year1011",2017,"Gabapentin",0.408670303124575,0.162063225368558,1.03053247444707,"Western Asia"
"Year1012",2017,"Gabapentin",0.0895065677385653,0.056493800063294,0.141810705942291,"Northern Africa"
"Year1013",2017,"Gabapentin",0.0655168009634044,0.0654069532995479,0.0656268331108463,"Southern Africa"
"Year11",2018,"Gabapentin",7.50897646267472,3.15505963494459,17.8712081675101,"Northern America"
"Year111",2018,"Gabapentin",0.106403490086442,0.0170477218104227,0.664118222274935,"Central and South America and the Caribbean"
"Year113",2018,"Gabapentin",2.22663303740465,1.54374729032014,3.21159733484209,"Northern Europe"
"Year115",2018,"Gabapentin",0.6223672725331,0.312059396042991,1.24124133684771,"Eastern Europe"
"Year117",2018,"Gabapentin",0.489220417666797,0.276734874935193,0.864858891088893,"Southern Europe"
"Year119",2018,"Gabapentin",1.01410743771736,0.799868474268281,1.28572875206072,"Western Europe"
"Year1110",2018,"Gabapentin",1.67180364785073,0.303760026513627,9.20110347976161,"Australia and New Zealand"
"Year1111",2018,"Gabapentin",0.160356534874488,0.0232849957747322,1.10432565784945,"Eastern Asia"
"Year1112",2018,"Gabapentin",0.026332937802445,0.0262102690112905,0.0264561807056896,"Central Asia"
"Year1113",2018,"Gabapentin",0.145214699538238,0.00653889781254545,3.22490266196281,"South-eastern Asia"
"Year1114",2018,"Gabapentin",0.0283186265740385,0.021225001022612,0.0377830187233203,"Southern Asia"
"Year1115",2018,"Gabapentin",0.5066937806592,0.235603207286217,1.08970752272833,"Western Asia"
"Year1116",2018,"Gabapentin",0.0857718367462021,0.0479214040023979,0.153518206153748,"Northern Africa"
"Year1117",2018,"Gabapentin",0.0662224017884728,0.0661127135399874,0.0663322720218021,"Southern Africa"
"Year12",2008,"Pregabalin",1.89315188316267,1.42672656624525,2.51206092149424,"Northern America"
"Year121",2008,"Pregabalin",0.129839109823886,0.0729249577362508,0.231171809530978,"Central and South America and the Caribbean"
"Year122",2008,"Pregabalin",0.707548223350231,0.503361899960836,0.994561742565378,"Northern Europe"
"Year123",2008,"Pregabalin",0.049356209374832,0.0197760592798568,0.123181032650601,"Eastern Europe"
"Year124",2008,"Pregabalin",0.703885865027856,0.488458091839677,1.01432511665429,"Southern Europe"
"Year125",2008,"Pregabalin",1.40600677702068,1.09121840707871,1.81160347388228,"Western Europe"
"Year126",2008,"Pregabalin",0.0794212987623944,0.00194031693464848,3.25088266997384,"Australia and New Zealand"
"Year128",2008,"Pregabalin",0.305197601976926,0.304942239683097,0.305453178114206,"Eastern Asia"
"Year1210",2008,"Pregabalin",0,0,0,"Central Asia"
"Year1211",2008,"Pregabalin",0.026950470578179,0.0268946877805989,0.0270063690759499,"South-eastern Asia"
"Year1212",2008,"Pregabalin",0.0435986567995086,0.0426038512659114,0.0446166911732286,"Southern Asia"
"Year1213",2008,"Pregabalin",0.141176448451293,0.111284759606154,0.179097206732146,"Western Asia"
"Year1214",2008,"Pregabalin",0.0377378646995579,0.0208191418590475,0.0684056260207112,"Northern Africa"
"Year1215",2008,"Pregabalin",0.0643865955905496,0.0642700669321814,0.0645033355281161,"Southern Africa"
"Year13",2009,"Pregabalin",2.1859613220844,2.12047644746406,2.253468510515,"Northern America"
"Year131",2009,"Pregabalin",0.134948484598281,0.0724805449795734,0.251254919516743,"Central and South America and the Caribbean"
"Year132",2009,"Pregabalin",0.886982221607238,0.653807382772526,1.20331688227668,"Northern Europe"
"Year133",2009,"Pregabalin",0.106363752939929,0.043193976308338,0.261917260376937,"Eastern Europe"
"Year134",2009,"Pregabalin",1.00605476048765,0.682382743870037,1.48325289610874,"Southern Europe"
"Year135",2009,"Pregabalin",1.68052533856039,1.32405770290551,2.13296248898079,"Western Europe"
"Year136",2009,"Pregabalin",0.139861776934897,0.00591847400662823,3.30512842085302,"Australia and New Zealand"
"Year137",2009,"Pregabalin",0.469755363144467,0.469439055051531,0.470071884365835,"Eastern Asia"
"Year138",2009,"Pregabalin",0,0,0,"Central Asia"
"Year139",2009,"Pregabalin",0.0371503491072139,0.0370853831860947,0.0372154288351903,"South-eastern Asia"
"Year1310",2009,"Pregabalin",0.0694754167384807,0.0409492855800911,0.117873449136126,"Southern Asia"
"Year1311",2009,"Pregabalin",0.195794744684615,0.156751019784062,0.244563525640369,"Western Asia"
"Year1312",2009,"Pregabalin",0.0921701400085077,0.0355606473996247,0.23889707669601,"Northern Africa"
"Year1313",2009,"Pregabalin",0.113003939050021,0.112850598015928,0.113157488443425,"Southern Africa"
"Year14",2010,"Pregabalin",2.36528207751792,2.01724854583502,2.77336142726611,"Northern America"
"Year141",2010,"Pregabalin",0.188063995976979,0.111796010018685,0.316362512194469,"Central and South America and the Caribbean"
"Year142",2010,"Pregabalin",1.00947399662029,0.775205936089566,1.31453811485624,"Northern Europe"
"Year143",2010,"Pregabalin",0.141360999604751,0.0576804134084155,0.346442250123311,"Eastern Europe"
"Year144",2010,"Pregabalin",1.37000375937172,0.91829319580918,2.04391180208925,"Southern Europe"
"Year145",2010,"Pregabalin",2.07768234959238,1.70020384255998,2.53896846822085,"Western Europe"
"Year146",2010,"Pregabalin",0.192099855100865,0.0103405449895899,3.56870497318312,"Australia and New Zealand"
"Year147",2010,"Pregabalin",0.0133195596010912,0.00378415148150086,0.0468825491881883,"Eastern Asia"
