"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"165","Gabapentin","Northern Europe","SWEDEN",15.5646211926002,13.0907057195194,18.0926547979273,0.000000105122091626173
"166","Gabapentinoids","Northern Europe","SWEDEN",7.98573309578854,7.35188440862864,8.62332428044093,0.000000000286590502388983
"167","Pregabalin","Northern Europe","SWEDEN",2.67384631183134,0.630153625123797,4.75904424967128,0.0157293022990247
"168","Gabapentin","Western Europe","SWITZERLAND",-1.96365202476088,-2.86392306472968,-1.05503714416171,0.000892195524152624
"169","Gabapentinoids","Western Europe","SWITZERLAND",8.1093403654001,7.03200886804067,9.19751575112036,0.0000000277827815815645
"170","Pregabalin","Western Europe","SWITZERLAND",10.7129694949083,8.8062588240928,12.6530931846208,0.000000329165357816008
"171","Gabapentin","Eastern Asia","TAIWAN",3.14989858601085,1.5701155307204,4.75425298779177,0.00139467859619681
"172","Gabapentinoids","Eastern Asia","TAIWAN",15.0838876332512,13.0214720342742,17.1839381880144,0.0000000283027805625237
"173","Pregabalin","Eastern Asia","TAIWAN",66.5239157951802,13.8644959601878,143.536971712903,0.0182651425208973
"174","Gabapentin","South-eastern Asia","THAILAND",17.47986986179,12.348233280165,22.8458999290713,0.0000604312492906834
"175","Gabapentinoids","South-eastern Asia","THAILAND",16.5023761729999,12.0194837027464,21.1646689068109,0.0000368474988026109
"176","Pregabalin","South-eastern Asia","THAILAND",13.8038061868703,10.2366632722889,17.4863781084203,0.0000279622696832442
"177","Gabapentin","Northern Africa","TUNISIA",2.58991174598939,-0.826179885671008,6.12367235543494,0.121815359709965
"178","Gabapentinoids","Northern Africa","TUNISIA",24.6790717290803,18.8982208179341,30.7409885554859,0.00000236135207795419
"179","Pregabalin","Northern Africa","TUNISIA",32.1042948211672,25.1283099619248,39.4691953843873,0.00000102020250606745
"180","Gabapentin","Western Asia","TÜRKIYE",7.11950590838348,3.51954542991439,10.844657387187,0.0013836515512915
"181","Gabapentinoids","Western Asia","TÜRKIYE",15.8148442308757,13.6314866740555,18.0401536300985,0.0000000301064155042386
"182","Pregabalin","Western Asia","TÜRKIYE",34.9522808946491,31.9883437985329,37.9827763159696,0.000000000212211582790285
"183","Gabapentin","Western Asia","UNITED ARAB EMIRATES",-6.63775108181856,-10.1265273122224,-3.01354490504874,0.00275928897477121
"184","Gabapentinoids","Western Asia","UNITED ARAB EMIRATES",6.55121138632666,-0.905117822630719,14.5685871806449,0.079232576004052
"185","Pregabalin","Western Asia","UNITED ARAB EMIRATES",9.35332204630752,0.724211628980043,18.7216941107622,0.0361142935839555
"186","Gabapentin","Northern Europe","UNITED KINGDOM",14.7856205597723,12.8963638002893,16.7064929619838,0.0000000156863059492017
"187","Gabapentinoids","Northern Europe","UNITED KINGDOM",16.9891782992488,14.829342387837,19.189638767653,0.0000000139501211746496
"188","Pregabalin","Northern Europe","UNITED KINGDOM",19.1554114565811,16.4855980255736,21.8864161754147,0.0000000294487069399426
"189","Gabapentin","Northern America","UNITED STATES",9.84601812234114,8.51946205306799,11.1887901861615,0.0000000296086633186004
"190","Gabapentin Enacarbil","Northern America","UNITED STATES",41.4414796353754,22.8463213437297,62.8513735097322,0.000948697195312321
"191","Gabapentinoids","Northern America","UNITED STATES",7.88991636363676,6.82465842404314,8.96579707979346,0.0000000322802729774077
"192","Pregabalin","Northern America","UNITED STATES",1.72197929023707,0.978546537101077,2.4708854065516,0.00051711571911922
"193","Gabapentin","Central and South America and the Caribbean","URUGUAY",4.43248726003458,-0.350751491469037,9.44532506317506,0.0659023761060026
"194","Gabapentinoids","Central and South America and the Caribbean","URUGUAY",19.1557003789347,12.9080954182463,25.7490074577948,0.0000427462123873514
"195","Pregabalin","Central and South America and the Caribbean","URUGUAY",31.3355398647446,19.7224662103323,44.0750811235402,0.0000926107718820916
"196","Gabapentin","Central and South America and the Caribbean","VENEZUELA",-23.6231324094706,-36.574652064864,-8.02689945182488,0.00951682562930162
"197","Gabapentinoids","Central and South America and the Caribbean","VENEZUELA",-3.70067389742876,-11.9791041645396,5.35634885089846,0.367402587000398
"198","Pregabalin","Central and South America and the Caribbean","VENEZUELA",7.92452425728929,0.264905929705073,16.1692900238528,0.0437720522433403
"199","Gabapentinoids","Central and South America and the Caribbean","Central and South America and the Caribbean",12.9188193780312,9.54765251043086,16.3937289164124,0.00000000000301181302120312
"200","Gabapentinoids","Australia and New Zealand","Australia and New Zealand",19.894004683296,13.6987749782348,26.4268006559429,0.00000083948916129728
"201","Gabapentinoids","Western Europe","Western Europe",8.14931467143181,6.64076776982243,9.67920157088578,0.000000000000000111022302462516
"202","Gabapentinoids","Eastern Europe","Eastern Europe",23.7705850282901,17.0636794298805,30.861748006316,0.0000000000479065676017854
"203","Gabapentinoids","Northern America","Northern America",9.04432229281806,6.81747983683121,11.317588118195,0.0000000407426760107299
"204","Gabapentinoids","Eastern Asia","Eastern Asia",28.508291630187,18.8619512439165,38.9374887832695,0.000000104247642296329
"205","Gabapentinoids","Southern Europe","Southern Europe",14.9112256331219,10.9188354953661,19.0473170542609,0.0000000000289127610741957
"206","Gabapentinoids","Northern Africa","Northern Africa",35.9137524906029,26.1691350929349,46.4109911070577,0.000000000332415650561302
"207","Gabapentinoids","Northern Europe","Northern Europe",14.7788819663386,12.3440466074433,17.2664875734486,0
"208","Gabapentinoids","Southern Asia","Southern Asia",15.5569090871329,12.1868669274498,19.0281857715789,0.00000000367226149489142
"209","Gabapentinoids","Western Asia","Western Asia",17.5712117549213,10.5310933370377,25.0597403517099,0.0000022122434593097
"210","Gabapentinoids","South-eastern Asia","South-eastern Asia",14.6508021048205,9.49900079525279,20.0449897059571,0.00000839733580293434
"211","Gabapentinoids","Southern Africa","Southern Africa",12.4231364922213,6.34582330155615,18.8477480954691,0.0010201789723463
