"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD"
"162",2009,"Gabapentin","KAZAKHSTAN",0,16043.015,"Gabapentinoids","Central Asia",0
"163",2009,"Gabapentin","KUWAIT",27388,2821.041,"Gabapentinoids","Western Asia",0.0265803500757252
"164",2009,"Gabapentin","LATVIA",291309,2144.784,"Gabapentinoids","Northern Europe",0.371860557962324
"165",2009,"Gabapentin","LEBANON",642476,4813.026,"Gabapentinoids","Western Asia",0.365467259539733
"166",2009,"Gabapentin","LITHUANIA",257405,3167.27,"Gabapentinoids","Northern Europe",0.22250596945058
"167",2009,"Gabapentin","LUXEMBOURG",141240,496.536,"Gabapentinoids","Western Europe",0.778783502454078
"168",2009,"Gabapentin","MEXICO",2895754,112463.886,"Gabapentinoids","Central and South America and the Caribbean",0.0704950064435879
"169",2009,"Gabapentin","MOROCCO",59272,31929.087,"Gabapentinoids","Northern Africa",0.00508244698180358
"170",2009,"Gabapentin","NETHERLANDS",0,16626.379,"Gabapentinoids","Western Europe",0
"171",2009,"Gabapentin","NEW ZEALAND",1839609,4323.338,"Gabapentinoids","Australia and New Zealand",1.16497367281145
"172",2009,"Gabapentin","NORWAY",2512407,4826.847,"Gabapentinoids","Northern Europe",1.42507013015871
"173",2009,"Gabapentin","PAKISTAN",2986518,175525.61,"Gabapentinoids","Southern Asia",0.0465837472781561
"174",2009,"Gabapentin","PERU",182331,28792.663,"Gabapentinoids","Central and South America and the Caribbean",0.0173375790863312
"175",2009,"Gabapentin","PHILIPPINES",896718,92414.161,"Gabapentinoids","South-eastern Asia",0.0265660593091953
"176",2009,"Gabapentin","POLAND",2345179,38351.924,"Gabapentinoids","Eastern Europe",0.167416637848878
"177",2009,"Gabapentin","PORTUGAL",4369635,10604.066,"Gabapentinoids","Southern Europe",1.1281906981935
"178",2009,"Gabapentin","PUERTO RICO",6179008,3596.532,"Gabapentinoids","Central and South America and the Caribbean",4.70375403763836
"179",2009,"Gabapentin","ROMANIA",1163039,20637.995,"Gabapentinoids","Eastern Europe",0.154289563575111
"180",2009,"Gabapentin","RUSSIA",868327,143326.904,"Gabapentinoids","Eastern Europe",0.0165869051384662
"181",2009,"Gabapentin","SAUDI ARABIA",979991,26630.303,"Gabapentinoids","Western Asia",0.100752482265499
"182",2009,"Gabapentin","SERBIA",0,9023.354,"Gabapentinoids","Southern Europe",0
"183",2009,"Gabapentin","SLOVAKIA",1423337,5401.149,"Gabapentinoids","Eastern Europe",0.721491728112711
"184",2009,"Gabapentin","SLOVENIA",306912,2033.807,"Gabapentinoids","Southern Europe",0.413155850471695
"185",2009,"Gabapentin","SOUTH AFRICA",840664,50477.013,"Gabapentinoids","Southern Africa",0.0455972423351124
"186",2009,"Gabapentin","SOUTH KOREA",11890161,49347.45,"Gabapentinoids","Eastern Asia",0.65967920638204
"187",2009,"Gabapentin","SPAIN",30945639,46583.566,"Gabapentinoids","Southern Europe",1.81876462816213
"188",2009,"Gabapentin","SWEDEN",4133952,9313.085,"Gabapentinoids","Northern Europe",1.21529479621053
"189",2009,"Gabapentin","SWITZERLAND",1677202,7713.902,"Gabapentinoids","Western Europe",0.595279641338396
"190",2009,"Gabapentin","TAIWAN",1500914,23104.542,"Gabapentinoids","Eastern Asia",0.17785587683658
"191",2009,"Gabapentin","THAILAND",0,66866.834,"Gabapentinoids","South-eastern Asia",0
"192",2009,"Gabapentin","TUNISIA",319335,10525.691,"Gabapentinoids","Northern Africa",0.0830626303877655
"193",2009,"Gabapentin","TÜRKIYE",37451276,71321.406,"Gabapentinoids","Western Asia",1.43766102249445
"194",2009,"Gabapentin","UNITED ARAB EMIRATES",322432,7917.368,"Gabapentinoids","Western Asia",0.11149800097666
"195",2009,"Gabapentin","UNITED KINGDOM",46001579,62828.62,"Gabapentinoids","Northern Europe",2.00458738827097
"196",2009,"Gabapentin","UNITED STATES",579603778,306307.565,"Gabapentinoids","Northern America",5.180638159629
"197",2009,"Gabapentin","URUGUAY",328586,3349.676,"Gabapentinoids","Central and South America and the Caribbean",0.268569091082418
"198",2009,"Gabapentin","VENEZUELA",4963534,28031.01,"Gabapentinoids","Central and South America and the Caribbean",0.484799351463146
"199",2009,"Gabapentin Enacarbil","JAPAN",0,128555.196,"Gabapentinoids","Eastern Asia",0
"200",2009,"Gabapentin Enacarbil","PUERTO RICO",0,3596.532,"Gabapentinoids","Central and South America and the Caribbean",0
"201",2009,"Gabapentin Enacarbil","UNITED STATES",0,306307.565,"Gabapentinoids","Northern America",0
"202",2009,"Pregabalin","ALGERIA",3552523,35333.882,"Gabapentinoids","Northern Africa",0.275267741366626
"203",2009,"Pregabalin","ARGENTINA",2545045,40482.786,"Gabapentinoids","Central and South America and the Caribbean",0.172121391460969
"204",2009,"Pregabalin","AUSTRALIA",5578748,21750.852,"Gabapentinoids","Australia and New Zealand",0.702215232902676
"205",2009,"Pregabalin","AUSTRIA",2945113,8372.658,"Gabapentinoids","Western Europe",0.963049003702646
"206",2009,"Pregabalin","BELARUS",16519,9433.159,"Gabapentinoids","Eastern Europe",0.00479442328414428
"207",2009,"Pregabalin","BELGIUM",4804865,10859.934,"Gabapentinoids","Western Europe",1.21133364367716
"208",2009,"Pregabalin","BOSNIA AND HERZEGOVINA",0,3735.945,"Gabapentinoids","Southern Europe",0
"209",2009,"Pregabalin","BRAZIL",1054566,193886.505,"Gabapentinoids","Central and South America and the Caribbean",0.0148914147128639
"210",2009,"Pregabalin","BULGARIA",288442,7473.509,"Gabapentinoids","Eastern Europe",0.105668054556696
"211",2009,"Pregabalin","CANADA",26528735,33746.093,"Gabapentinoids","Northern America",2.15230006037644
"212",2009,"Pregabalin","CHILE",1188886,16886.184,"Gabapentinoids","Central and South America and the Caribbean",0.192760689502752
"213",2009,"Pregabalin","CHINA",0,1361169.41,"Gabapentinoids","Eastern Asia",0
"214",2009,"Pregabalin","COLOMBIA",903461,44750.054,"Gabapentinoids","Central and South America and the Caribbean",0.0552746016796573
"215",2009,"Pregabalin","CROATIA",100209,4341.261,"Gabapentinoids","Southern Europe",0.0631976030760926
"216",2009,"Pregabalin","CZECH REPUBLIC",2260819,10488.155,"Gabapentinoids","Eastern Europe",0.590169107789998
"217",2009,"Pregabalin","ECUADOR",930576,14774.412,"Gabapentinoids","Central and South America and the Caribbean",0.172445321958413
"218",2009,"Pregabalin","EGYPT",1973167,81134.789,"Gabapentinoids","Northern Africa",0.0665834827535336
"219",2009,"Pregabalin","ESTONIA",70888,1336.14,"Gabapentinoids","Northern Europe",0.145254813566109
"220",2009,"Pregabalin","FINLAND",7810867,5342.266,"Gabapentinoids","Northern Europe",4.0029808257646
"221",2009,"Pregabalin","FRANCE",58373098,62542.883,"Gabapentinoids","Western Europe",2.55531604302026
"222",2009,"Pregabalin","GERMANY",55385966,80899.961,"Gabapentinoids","Western Europe",1.8743953487094
"223",2009,"Pregabalin","GREECE",7306757,10959.268,"Gabapentinoids","Southern Europe",1.82537833766206
"224",2009,"Pregabalin","HUNGARY",2045400,9959.439,"Gabapentinoids","Eastern Europe",0.562280666611844
"225",2009,"Pregabalin","INDIA",54532528.6666667,1217726.217,"Gabapentinoids","Southern Asia",0.122607138164569
"226",2009,"Pregabalin","IRELAND",4273598,4494.572,"Gabapentinoids","Northern Europe",2.60324534754058
"227",2009,"Pregabalin","ITALY",24142838,59105.622,"Gabapentinoids","Southern Europe",1.11832827039537
"228",2009,"Pregabalin","JAPAN",0,128555.196,"Gabapentinoids","Eastern Asia",0
"229",2009,"Pregabalin","JORDAN",167521,6893.258,"Gabapentinoids","Western Asia",0.066535664516134
"230",2009,"Pregabalin","KAZAKHSTAN",0,16043.015,"Gabapentinoids","Central Asia",0
"231",2009,"Pregabalin","KUWAIT",128660,2821.041,"Gabapentinoids","Western Asia",0.124865920868366
"232",2009,"Pregabalin","LATVIA",100772,2144.784,"Gabapentinoids","Northern Europe",0.128637056002318
"233",2009,"Pregabalin","LEBANON",386891,4813.026,"Gabapentinoids","Western Asia",0.220079806110402
"234",2009,"Pregabalin","LITHUANIA",209944,3167.27,"Gabapentinoids","Northern Europe",0.181479743013277
"235",2009,"Pregabalin","LUXEMBOURG",472819,496.536,"Gabapentinoids","Western Europe",2.60707757608917
"236",2009,"Pregabalin","MEXICO",8538145,112463.886,"Gabapentinoids","Central and South America and the Caribbean",0.207854875376599
"237",2009,"Pregabalin","MOROCCO",390610,31929.087,"Gabapentinoids","Northern Africa",0.0334939704339704
"238",2009,"Pregabalin","NETHERLANDS",0,16626.379,"Gabapentinoids","Western Europe",0
"239",2009,"Pregabalin","NEW ZEALAND",43988,4323.338,"Gabapentinoids","Australia and New Zealand",0.0278563879170139
"240",2009,"Pregabalin","NORWAY",3852453,4826.847,"Gabapentinoids","Northern Europe",2.18516175848114
"241",2009,"Pregabalin","PAKISTAN",5833097,175525.61,"Gabapentinoids","Southern Asia",0.090984724182801
"242",2009,"Pregabalin","PERU",394054,28792.663,"Gabapentinoids","Central and South America and the Caribbean",0.0374699990088639
"243",2009,"Pregabalin","PHILIPPINES",1253983,92414.161,"Gabapentinoids","South-eastern Asia",0.0371503491072139
"244",2009,"Pregabalin","POLAND",99135,38351.924,"Gabapentinoids","Eastern Europe",0.00707700708267833
"245",2009,"Pregabalin","PORTUGAL",8729843,10604.066,"Gabapentinoids","Southern Europe",2.25394745082591
"246",2009,"Pregabalin","PUERTO RICO",1645215,3596.532,"Gabapentinoids","Central and South America and the Caribbean",1.2524157112328
"247",2009,"Pregabalin","ROMANIA",3237596,20637.995,"Gabapentinoids","Eastern Europe",0.429501739728871
"248",2009,"Pregabalin","RUSSIA",1487425,143326.904,"Gabapentinoids","Eastern Europe",0.0284130026770826
"249",2009,"Pregabalin","SAUDI ARABIA",2999968,26630.303,"Gabapentinoids","Western Asia",0.308425508721065
