"","Year","Drug","Country","DDD","Population","Class","Region","DDDPTPD","x","pt","rate","lower","upper","conf.level"
"101",2008,"Pregabalin","LITHUANIA",150470,3212.867,"Gabapentinoids","Northern Europe",0.128223299607412,150470,1173499.67175,0.128223299607412,0.127575426312218,0.128871172902606,0.95
"102",2008,"Pregabalin","LUXEMBOURG",424844,485.403,"Gabapentinoids","Western Europe",2.3962758363841,424844,177293.44575,2.3962758363841,2.389070236299,2.4034814364692,0.95
"103",2008,"Pregabalin","MEXICO",8399470,110815.272,"Gabapentinoids","Central and South America and the Caribbean",0.207520995400277,8399470,40475278.098,0.207520995400277,0.207380654521619,0.207661336278936,0.95
"104",2008,"Pregabalin","MOROCCO",186849,31536.807,"Gabapentinoids","Northern Africa",0.0162211945465768,186849,11518818.75675,0.0162211945465768,0.01614764406256,0.0162947450305936,0.95
"105",2008,"Pregabalin","NETHERLANDS",0,16568.105,"Gabapentinoids","Western Europe",0,0,6051500.35125,0,0,0,0.95
"106",2008,"Pregabalin","NEW ZEALAND",18676,4278.156,"Gabapentinoids","Australia and New Zealand",0.0119519020111654,18676,1562596.479,0.0119519020111654,0.0117804892375434,0.0121233147847873,0.95
"107",2008,"Pregabalin","NORWAY",4050537,4771.014,"Gabapentinoids","Northern Europe",2.32440439574432,4050537,1742612.8635,2.32440439574432,2.32214077597975,2.3266680155089,0.95
"108",2008,"Pregabalin","PAKISTAN",2701389,171648.984,"Gabapentinoids","Southern Asia",0.0430879334537745,2701389,62694791.406,0.0430879334537745,0.0430365515498424,0.0431393153577066,0.95
"109",2008,"Pregabalin","PERU",265960,28562.321,"Gabapentinoids","Central and South America and the Caribbean",0.0254936843313838,265960,10432387.74525,0.0254936843313838,0.0253967957643399,0.0255905728984276,0.95
"110",2008,"Pregabalin","PHILIPPINES",894808,90901.967,"Gabapentinoids","South-eastern Asia",0.026950470578179,894808,33201943.44675,0.026950470578179,0.0268946300503671,0.027006311105991,0.95
"111",2008,"Pregabalin","POLAND",60349,38356.786,"Gabapentinoids","Eastern Europe",0.00430762257173047,60349,14009816.0865,0.00430762257173047,0.00427325485374687,0.00434199028971406,0.95
"112",2008,"Pregabalin","PORTUGAL",7015053,10595.312,"Gabapentinoids","Southern Europe",1.81270437131284,7015053,3869937.708,1.81270437131284,1.81136296731982,1.81404577530586,0.95
"113",2008,"Pregabalin","PUERTO RICO",1664651,3608.03,"Gabapentinoids","Central and South America and the Caribbean",1.26317299208993,1664651,1317832.9575,1.26317299208993,1.26125410542643,1.26509187875343,0.95
"114",2008,"Pregabalin","ROMANIA",1910974,20829.521,"Gabapentinoids","Eastern Europe",0.251180124117544,1910974,7607982.54525,0.251180124117544,0.250823996239014,0.251536251996073,0.95
