"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"161","Pregabalin","Eastern Asia","SOUTH KOREA",19.6087490096457,16.1742519885848,23.1447811780026,0.000000217815071196594
"162","Gabapentin","Southern Europe","SPAIN",2.13160586728816,1.37150406183115,2.89740705305925,0.000127176609924278
"163","Gabapentinoids","Southern Europe","SPAIN",6.13058966970323,4.87322222511093,7.4030322007397,0.0000012887523563486
"164","Pregabalin","Southern Europe","SPAIN",8.47722217609845,5.9929381825113,11.0197333220471,0.0000233839593430251
"165","Gabapentin","Northern Europe","SWEDEN",15.6618672660107,13.1087006465432,18.272665701152,0.000000130870285706751
"166","Gabapentinoids","Northern Europe","SWEDEN",8.12430172973271,7.4932114477853,8.7590971288555,0.000000000235084635189973
"167","Pregabalin","Northern Europe","SWEDEN",2.82138638321539,0.743898046985958,4.94171560480701,0.0130650396004733
"168","Gabapentin","Western Europe","SWITZERLAND",-1.6316181057207,-2.52352418447155,-0.731551119975038,0.00273449112020167
"169","Gabapentinoids","Western Europe","SWITZERLAND",8.27738939357758,7.2114341102651,9.35394299296941,0.0000000209886171925617
"170","Pregabalin","Western Europe","SWITZERLAND",10.8061968419412,8.95568995167675,12.6881327998609,0.000000234696359963975
"171","Gabapentin","Northern Africa","TUNISIA",2.46865325532644,-0.690481152171341,5.72828286530251,0.111972536251751
"172","Gabapentinoids","Northern Africa","TUNISIA",24.4799438506694,18.6137787074849,30.6362261612024,0.00000288462784142528
"173","Pregabalin","Northern Africa","TUNISIA",31.8677447211799,24.8406558719342,39.2903776129518,0.000001166483053147
"174","Gabapentin","Western Asia","TÜRKIYE",7.12348069617188,3.52976149115112,10.8419448782748,0.00136270514099114
"175","Gabapentinoids","Western Asia","TÜRKIYE",15.8313008378512,13.6553804001782,18.048879046009,0.0000000289278601799724
"176","Pregabalin","Western Asia","TÜRKIYE",34.9877645917896,32.0306011580996,38.0111612736574,0.000000000205767893945597
"177","Gabapentin","Western Asia","UNITED ARAB EMIRATES",-6.63775108181856,-10.1265273122224,-3.01354490504874,0.00275928897477121
"178","Gabapentinoids","Western Asia","UNITED ARAB EMIRATES",6.55121138632666,-0.905117822630719,14.5685871806449,0.079232576004052
"179","Pregabalin","Western Asia","UNITED ARAB EMIRATES",9.35332204630752,0.724211628980043,18.7216941107622,0.0361142935839555
"180","Gabapentin","Northern Europe","UNITED KINGDOM",15.2105256870515,13.2470868970528,17.2080058991096,0.0000000169296034489415
"181","Gabapentinoids","Northern Europe","UNITED KINGDOM",17.3002344876417,15.0855053155436,19.5575843641655,0.0000000146903196492447
"182","Pregabalin","Northern Europe","UNITED KINGDOM",19.3450693475871,16.6604548370819,22.0914627623498,0.0000000281731565512259
"183","Gabapentin","Northern America","UNITED STATES",10.5603088674626,9.23995790407726,11.896618521239,0.0000000149271545919286
"184","Gabapentin Enacarbil","Northern America","UNITED STATES",40.9629494412664,22.3199593757832,62.447348875714,0.00103287788179848
"185","Gabapentinoids","Northern America","UNITED STATES",8.2754453443707,7.18406233162878,9.37794117421054,0.0000000258961722727484
"186","Pregabalin","Northern America","UNITED STATES",1.52977277873583,0.773000412196656,2.29222825893058,0.00130822692896075
"187","Gabapentin","Central and South America and the Caribbean","URUGUAY",4.43248726003458,-0.350751491469037,9.44532506317506,0.0659023761060026
"188","Gabapentinoids","Central and South America and the Caribbean","URUGUAY",19.1557003789347,12.9080954182463,25.7490074577948,0.0000427462123873514
"189","Pregabalin","Central and South America and the Caribbean","URUGUAY",31.3355398647446,19.7224662103323,44.0750811235402,0.0000926107718820916
"190","Gabapentin","Central and South America and the Caribbean","VENEZUELA",-23.6231324094706,-36.574652064864,-8.02689945182488,0.00951682562930162
"191","Gabapentinoids","Central and South America and the Caribbean","VENEZUELA",-3.70067389742876,-11.9791041645396,5.35634885089846,0.367402587000398
"192","Pregabalin","Central and South America and the Caribbean","VENEZUELA",7.92452425728929,0.264905929705073,16.1692900238528,0.0437720522433403
"193","Gabapentinoids","Central and South America and the Caribbean","Central and South America and the Caribbean",12.9565010150554,9.57856785169309,16.4385643261267,0.00000000000289102075612391
"194","Gabapentinoids","Australia and New Zealand","Australia and New Zealand",22.4085639147477,14.675873688305,30.6626759208113,0.00000325374595411265
"195","Gabapentinoids","Western Europe","Western Europe",8.3342841676513,6.81175906087652,9.87851177910479,0
"196","Gabapentinoids","Eastern Europe","Eastern Europe",24.3021965212447,17.4125401013889,31.5961314410176,0.0000000000536733990585958
"197","Gabapentinoids","Northern America","Northern America",9.26715915692515,7.07328581799658,11.5059837662896,0.0000000217388862466805
"198","Gabapentinoids","Southern Europe","Southern Europe",14.8823207494571,10.8910632370939,19.0172339908301,0.0000000000307056602366629
"199","Gabapentinoids","Northern Africa","Northern Africa",35.8714387791176,26.1128376884828,46.3851596259296,0.000000000357067264644684
